date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:24	45621/45621	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/index.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/index.html	(from )
19:45:24	635/635	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2010:25:54%20GMT	https://html-templates.evonicmedia.com/robots.txt		(from )
19:45:25	1608/1608	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/fav_icon.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/fav_icon.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:25	155845/155845	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/css/bootstrap-lib/bootstrap.min.css	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/css/bootstrap-lib/bootstrap.min.css	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:25	44281/44281	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/css/style.css	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/css/style.css	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:25	32958/32958	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/css/responsive.css	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/css/responsive.css	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:25	124909/124909	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/font-awesome-lib/icon/font-awesome.min.css	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/font-awesome-lib/icon/font-awesome.min.css	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:26	4652/4652	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/css/slick.min.css	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/css/slick.min.css	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:26	28765/28765	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/css/aos.css	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/css/aos.css	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:26	4681/4681	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/logo.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/logo.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:27	42330/42330	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/About.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/About.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:27	31575/31575	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/Services.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/Services.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:28	30743/30743	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/Pricing.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/Pricing.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:28	35769/35769	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/Testimonials.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/Testimonials.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:28	29451/29451	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/Team.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/Team.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:29	23855/23855	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/Blogs.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/Blogs.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:29	25732/25732	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/BlogDetails.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/BlogDetails.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:29	4541/4541	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/Error.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/Error.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:30	4493/4493	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/ComingSoon.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/ComingSoon.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:30	24157/24157	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/Contact.html	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/Contact.html	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:30	1122/1122	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/search.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/search.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:30	2170/2170	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/index/reviewImg_1.webp	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/index/reviewImg_1.webp	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:31	2518/2518	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/index/reviewImg_2.webp	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/index/reviewImg_2.webp	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:31	1586/1586	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/index/reviewImg_3.webp	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/index/reviewImg_3.webp	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:31	36766/36766	---M--	200	added ('OK')	image/webp	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/index/credit_cards.webp	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/index/credit_cards.webp	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:31	8876/8876	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo1.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo1.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:32	7602/7602	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo2.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo2.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:32	10402/10402	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo3.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo3.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:32	10112/10112	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo4.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/partnerlogo4.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:32	922/922	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/person.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/person.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:33	2631/2631	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/transaction.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/transaction.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:33	8221/8221	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/investment.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/investment.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
19:45:33	2334/2334	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Aug%202024%2012:56:30%20GMT	https://html-templates.evonicmedia.com/finteezy/assets/images/icons/card.svg	C:/Users/Admin/Downloads/l/html-templates.evonicmedia.com/finteezy/assets/images/icons/card.svg	(from https://html-templates.evonicmedia.com/finteezy/index.html)
